01:29:20.179,55aa19280000000000000032f562000100090018
01:29:20.192,5a5a5a5a55aa002260b7440002c7002100000000
01:29:20.199,000a04185a5a5a5a
01:29:20.389,55aa19280000000000000032f567000100090018
01:29:20.391,5a5a5a5a55aa002260b7440002d0002100000000
01:29:20.402,000a04185a5a5a5a
01:29:20.598,55aa19280019000000000032f56a000100090018
01:29:20.601,5a5a5a5a55aa002260b7440002d0002100000000
01:29:20.607,000a04185a5a5a5a
01:29:20.795,55aa1928fff400000000fff6f56b000100090018
01:29:20.798,5a5a5a5a55aa002260b7440002d0002100000000
01:29:20.807,000a04185a5a5a5a
01:29:21.020,55aa1928000000000000ffe2f56c000100090018
01:29:21.034,5a5a5a5a55aa002260b7440002cf002100000000
01:29:21.041,000a04185a5a5a5a
01:29:21.199,55aa1928fff000000000ffe2f570000100090018
01:29:21.212,5a5a5a5a55aa002260b7440002d0002100000000
01:29:21.231,000a04185a5a5a5a
01:29:21.425,55aa1928000000000000ffc4f573000100090018
01:29:21.427,5a5a5a5a55aa002260b7440002d0002100000000
01:29:21.432,000a04185a5a5a5a
01:29:21.635,55aa1928ffe700000000ffcef574000100090018
01:29:21.641,5a5a5a5a55aa002260b7440002d0002100000000
01:29:21.651,000a04185a5a5a5a
01:29:21.829,55aa1928000000000000ffd8f56d000100090018
01:29:21.832,5a5a5a5a55aa002260b7440002d0002100000000
01:29:21.838,000a04185a5a5a5a
01:29:22.023,55aa19280003000000000014f573000100090018
01:29:22.025,5a5a5a5a55aa002260b7440002d0002100000000
01:29:22.035,000a04185a5a5a5a
01:29:22.220,55aa19280002000000000014f574000100090018
01:29:22.234,5a5a5a5a55aa002260b7440002d0002100000000
01:29:22.240,000a04185a5a5a5a
01:29:22.429,55aa1928fffe00000000ffcef577000100090018
01:29:22.431,5a5a5a5a55aa002260b7440002d0002100000000
01:29:22.444,000a04185a5a5a5a
01:29:22.677,55aa1928ffec00000000ffd8f57b000100090018
01:29:22.679,5a5a5a5a55aa002260b7440002d0002100000000
01:29:22.684,000a04185a5a5a5a
01:29:22.835,55aa1928fff000000000ffe2f57a000100090018
01:29:22.839,5a5a5a5a55aa002260b7440002d0002100000000
01:29:22.847,000a04185a5a5a5a
01:29:23.043,55aa1928fffb000000000032f57f000100090018
01:29:23.045,5a5a5a5a55aa002260b7440002d0002100000000
01:29:23.061,000a04185a5a5a5a
01:29:23.240,55aa1928000d000000000050f580000100090018
01:29:23.252,5a5a5a5a55aa002260b7440002d0002100000000
01:29:23.258,000a04185a5a5a5a
01:29:23.450,55aa19280019000000000028f580000100090018
01:29:23.452,5a5a5a5a55aa002260b7440002d0002100000000
01:29:23.464,000a04185a5a5a5a
01:29:23.662,55aa1928000000000000001ef583000100090018
01:29:23.665,5a5a5a5a55aa002260b7440002d0002100000000
01:29:23.676,000a04185a5a5a5a
01:29:23.870,55aa19280003000000000046f586000100090018
01:29:23.873,5a5a5a5a55aa002260b7440002d0002100000000
01:29:23.886,000a04185a5a5a5a
01:29:24.065,55aa1928fff900000000ffc4f589000100090018
01:29:24.067,5a5a5a5a55aa002260b7440002d0002100000000
01:29:24.078,000a04185a5a5a5a
01:29:24.260,55aa1928000000000000ff6af58a000100090018
01:29:24.263,5a5a5a5a55aa002260b7440002d0002100000000
